GENERO,DESCRICAO
PRODUTO DE HIGIENE,ESC DENTAL CURAPROX ULTRA MA 101
PRODUTO DE HIGIENE,CR. DENTAL SOR.D.BRANCOS 50G
CORPO,SABONETE INTIMOS MORANGO - 210ML PCS.
CABELO,CR PENT ELSEVE 250ML RT5 QUIMICA RE 1
REFERENCIA,PROPRANOLOL AYERST 10MG 30 C 101 CX
GENERICO,MELOXICAM 15MG CPR 1X10 GMD-GENERICO BLT
REFERENCIA,SUMAX 25MG 4 COMP 102 CX
PRODUTO DESCARTAVEL,SACO P/ LIXO BRASILEIRINH AZUL100 LT 5UN
PRODUTO DE HIGIENE,PAP TOALHA QUALITA FD 12X2
REFERENCIA,PLAQUEVIX 75MG CPD28 CX
TENIS,TENIS KOLOSH ORFEU MARINHO 38 PR
PRODUTO DE HIGIENE,ENX.ORAL-B 3D WHITE MINT 250ML
SUCO,SUCO DE MANGA MARATA 1L 1
REFRIGERANTE,REFRIG PEPSI LT 350ML CX 12
SIMILAR,FAGICO 4MGML 20ML FR
SIMILAR,HIDRAPLEX PO 27,9G NATURAL C/4 ENV (NATUL) CX
PRODUTO DE HIGIENE,PAPEL TOALHA SCALA C/02 ROLOS BRANCO
PRODUTO PARA ANIMAL,BOLINHA DUGS FUTEBOL
CORPO,SAB.EVEN ALG.MARINHAS AVEIA UND 1 X 1 90G
SIMILAR,TOPISON CRM 20G 101 BG
CERVEJA,CERVEJA SKOL LATA 12 X 350ML CX
CORPO,DS SENADOR 90ML SEDUCTION
CERVEJA,CERVEJA PROIBIDA PILSEN 350ML CX12
PRODUTO DE HIGIENE,SPRAY BUCAL DAUF FROZEN 20ML
PRODUTO FARMACEUTICO,ALGODAO CREMER BOLAS 95G 103 PC
CAFE,CAFE SC DESC REFIL 50G CX
SIMILAR,EUTHYROX 75MCG 50CPR MERC CX
ORTOPEDIA,TIPOIA ORTOPEDICA M-BC0069SI 101
CABELO,TINT KOLESTON LOU MATE MEDIO 72 NV
CABELO,ORIGEM CR HID 1KG CONTR DE CACHOS*
CORPO,SAB LIFEBUOY CREAM+ERVADOCE90G L6P5
LACTICINIO,ITALAC CREME DE LEITE TP 24X200G CX
CABELO,SKAFE TRAT CAPILAR VITAMINA CRESCIMENTO 10 ML
PRODUTO FARMACEUTICO,NUTREN ACTIVE BANANA 400G
MATERIAL PARA CONSTRUCAO,TIJOLO 8 FUROS UN
REFERENCIA,CORUS 25MG CPD/30
CORPO,ASEPXIA DUCHA ESPUMA ATIVA 2 101
PRODUTO FARMACEUTICO,JJ LENCOS H BRINCAR
LACTICINIO,BEBIDA LACTEA MORANGO JAGUARIBE L
TIPO DE GRAO,MILHO DE MUNGUNZA D.CLARA 20X500G
MACARRAO,MACARRAO CUP NOODLES CARNE 6 101
PRODUTO DE LIMPEZA,SAB�O YP� AZUL 10X5X200GR CX
CABELO,ORIGEM CCP 300ML ARGAN
REFERENCIA,PREDSIM SOL 100ML HYPE FR
ORTOPEDIA,TIPOIA ORTOPEDICA G-BC0069SI 101
SIMILAR,HEMOFOL 5000UI/ML SOL INJ 25 FA X 5ML (CRIST) CX
VODKA,VODKA SMIRNOFF ICE RED 275ML
FRUTA,NECTARINA IMP CD KG 1
SIMILAR,SIGMALIV 0 5ML XPE 60ML 101 FR
CABELO,COND TURMA XUXINHA CACHEADOS 120 ML CX/12 R2250
CAFE,CAFE VACUO SAO BRAZ PREMIUM 250G CX20
ARROZ,ARROZ PANELACO BRANCO 1KL
REFERENCIA,FLOGORAL LIMAO PAST/12 CX
REFRIGERANTE,REF.FANTA LARANJA PET UND 1 X 1 1L
MATERIAL PARA CONSTRUCAO,GESSO GESSOMIX 1KG
PECA INTIMA,SUTIA AMAMENTACAO ALCAS SOFT
PRODUTO FARMACEUTICO,SERINGA DESC. 3 ML C/AG.
FEIJAO,FEIJAO CARIOCA CAMIL 1KG PC1
MEDICAMENTO NAO CLASSIFICADO,SUPRADYN ATIVA CPD/60
UTENSILIO PARA O LAR,GLP EM BOTIJ�O 13KG
MEDICAMENTO NAO CLASSIFICADO,GEN ZOLPIDEM 10MG 20 COMP-B1 CX
PERFUMARIA,LINDA DESODORANTE COLONIA 100ML VS3 PRM
BOMBONIERE,BALA PIPPER -MARCA SAMS- 24X500GR SC
GENERICO,MAL DEXCL 2MG CPR 1X20 GMD-GENERICO CX
REFERENCIA,ALIVIUM 400MG 10 COMP - OTX 103 CX
CERVEJA,CERVEJA SKOL GRF 300ML
LACTICINIO,PICOLE TORTA DE LIMAO - CX C/20 UN P 5.3
PRODUTO PARA CONSERVACAO,INS SBP 270ML NOITES TRANQUILAS
ACESSORIO PARA VEICULO,14100455 RELE AUXILIAR
FERRAGEM,VERGALH�O CA50 10.00MM KG
SIMILAR,PRELONE GTS 20ML 101 FR
PREPARACAO DE CARNE,SALAME ITALIANO MINI SADIA 6KG CX
PRODUTO DE LIMPEZA,SABAO EM PO ALA FRUT(AZUL) 9X500 PCT
FARINHA E AMIDO,FECULA DE MAND AMAFIL 1KG FD20
GENERICO,GEN OMEPRAZOL 40MG 7 CAPS 105 CX
FARINHA E AMIDO,FARINHA MAND BRANCA SANTO ANTONIO 1KG FD 30
BISCOITO,BISC RECH RICHESTER ESCURETTO 140G CX 30
MAQUIAGEM,HIBISCUS BATOM CREMOSO
CABELO,I. ROYAL 7-55 60ML 02/13
SIMILAR,BRASART HCT 32025MG 30 COMP 103 CX
ROSTO,IONAX SCRUB 60G
PRODUTO FARMACEUTICO,OFF LOCAO HIDRATANTE 200ML 12 CX
CARNE DE AVE ,COXA SOBRECOXA FRIATO CX 20KG KG
REFRIGERANTE,COCA-COLA PET 2L C/6 FD
RUM,RUM MONTILLA CARTA BRANCA CXA 1 X 12 1L
PRODUTO DE HIGIENE,GEL D.EVEN M.FRESH C/FL.72X90G CX
PRODUTO DE LIMPEZA,LIMP M USO MR MUSC LAVANDA 500ML 1
REFERENCIA,DAKTARIN GEL 40G 102 BG
MATERIAL PARA CONSTRUCAO,JOELHO 45 SOLDAVEL DE 32 MM TIGRE
REFERENCIA,ZOVIRAX CRM 10G 101 BG
PRODUTO DE LIMPEZA,HARPIC BLOCO HIGIENICO PINHO 26G EMB EM
CORPO,ST.PROTEX 90G MEN SPORTS
MEDICAMENTO NAO CLASSIFICADO,HIPODERME 45G (TEUTO) TB
FRUTA,ABACAXI GOLD UND
SUCATA,SUCATA METALICA - FERRO KG
TEMPERO,VINAGRE BALSAMICO MARATA 500ML
MATERIAL PARA CONSTRUCAO,CAIXA DAGUA POLIETILENO 500 LT C/ TAMPA
MATERIAL PARA CONSTRUCAO,AMANCO LUVA ELETRO ROSC 2 11718 PC
MISTURA PRONTA,NUTRILON ARROZ REFIL 12X230G CX
MATERIAL ELETRICO,FITA ISOLANTE 3M IMPERIAL 18MMX20M
LACTICINIO,IOG NESTLE MOLICO 170G MAMAO
CABELO,CREME ALIS ESSENZA G.REAL FORTE 1 KG 4061.022
FARINHA E AMIDO,FLOCOS VITAMILHO 30X500G
SIMILAR,FERTNON 21 DRG 103 CX
MATERIAL PARA CONSTRUCAO,ARAME RECOZIDO 18 1KG KG
CABELO,COND TRESEMME BLIND PLATINUM 101 FR
PRODUTO DE LIMPEZA,MULTI USO VEJA MACA VERDE 500ML
ACESSORIO DE INFORMATICA,TECLADO PADRAO USB PRETO 608145 MAXPRINT
SUCATA,CHAPARIA DE ALUMINIO KG
CABELO,SH DOVE MEN LIMP REFRESCANTE 101 FR
PRODUTO DE LIMPEZA,MULTIUSO VEJA 0,500ML INSTANT AZUL TB
CARNE BOVINA,TR MIOLO DO ACEM KG
SIMILAR,NASOCLEAN ISOTONICO 100ML LP:N
LACTICINIO,RF.IOG.DANONE POLPA MIX FRUTAS BDJ 1 X 1 540G
VINHO,VH PORTO MESSIAS RUBY 750ML
FARINHA E AMIDO,FARINHA DE LINHACA 500G
MATERIAL PARA CONSTRUCAO,TINTA FORTMAIS DAMASCO 18 L
MATERIAL PARA CONSTRUCAO,LUVA SOLD 25MM - KRONA
CARNE SUINA,COSTELA SUINA CONG C OSSO TCHE CX 10 KG
BISCOITO,BISC CREAM CRACKER FORTALEZA 400GR DEZ
PRODUTO DE HIGIENE,ESPONJA BANHO PONJITA INF SAPOBAL
LEITE,LEITE PO ITAMBE INT SH 400G FD 25
CORPO,MURIEL OLEO CORP 100ML AM C/ AVELA*
PAPEL,PAPEL OFICIO A4 COPIMAX
CORPO,REFIL PORTINARI DESODOR SPRAY 100ML PACK
CABELO,CRM TRAT DOVE RECON COMPLETA 101
MATERIAL PARA ESCRITORIO E ESCOLAR,CADERNO CD 15M 300FLS HAPPY DAYS PANAME
GENERICO,CLINDAMICINA 300MG CAPS. C/16 GEN.
SIMILAR,REUQUINOL 400MG 30 COMP 104 CX
VODKA,VODKA NATASHA 1L
MATERIAL ELETRICO,FITA ISOL 18MMX10M ANTI-CHAMA 2648 TIGRE PC
BOMBONIERE,B-CHOCOSOY BREAK AVELA 38G (DP) DP.C/12UND DP
CAFE,CF C/LEITE 3C 1KG
REFERENCIA,DIPROSONE CRM 30G 104 BG
FRUTA,PERA ASIATICA KG
PARTE E PECA PARA VEICULO,BATERIA MOURA M70KD
LACTICINIO,COMP LACT NINHO 1+ SH 800G CX12
SANDALIA,SANDALIA FEMININA NAPA
REFRIGERANTE,REFRIG.COCA COLA 350ML LT
PRODUTO DE LIMPEZA,DESINF MEU LAR FLORAL 1LT
MEL,POLIPLUS NECTAR FLORAL 250G 103
ACESSORIO PARA BELEZA,LIXA TAIFF PEDICURO REFIL C/10
REFERENCIA,BAMIFIX 300MG 20DRG CHIE CX
MATERIAL PARA CONSTRUCAO,(A)BOR SILIC ACETICO INCOLOR 50G VONDER PC
SIMILAR,GINKOMED (GINKGO BILOBA) 80MG 30CPR
LIVRO,LIVRO LITERATURA O MAL DO LOBO MAU
TIPO DE MOVEIS,COL D20 OURO BLACK 138X 188 X 20 ESPECIAL ORTOLAR
SIMILAR,REPOFLOR 200MG 4 ENV 1G 107 CX
REFERENCIA,BISOLVON XPE EXP INF 120 ML (BOEHR) VD
SIMILAR,SAL FRUTA ENO GUARANA 60 ENV 102 CX
AGUARDENTE,BEBIDA MISTA YPIOCA GUARANA 1L
CABELO,COND INF MURIEL BABY 100ML MENINO
PRODUTO FARMACEUTICO,ABS.SYM COB.SE.C/AB.16X1 OF CD
PRODUTO DE HIGIENE,ANTISEPT LIST ZERO 500ML
CABELO,BATISTE SH A SECO 150ML ORIGIN
PRODUTO FARMACEUTICO,FDA DESC HUGGIES LITTLE SWIM 104
TIPO DE PRODUTO,GRAFITE EM PO PROAUTO 20G
LEITE,LEITE SUPRA SOY S/LACTOSE 300G
CERVEJA,CERV.SCHIN.NO GRAU 350ML PILSEN LT CX 12
PRODUTO FARMACEUTICO,SUSTAGEN INST BAUNILHA 400 GRS LTA.C/1X400 GRS 7898941911027 LTA
REFERENCIA,MARACUJA CONCENTRIX S/ACUCAR FR 100ML
PRODUTO DE LIMPEZA,LAVA PISO PEPY PRIMAVERA 1 LT CX C/ 12 UNID.
UTENSILIO PARA O LAR,PORTA SABAO EM PO - 1 KG
PRODUTO DESCARTAVEL,SACO CROMUS P/CESTA SORT. 60X75 C/25UN
PRODUTO HOSPITALAR,SONDA FOLEY N.20 2VIAS
MATERIAL PARA CONSTRUCAO,LIXA D AGUA GRAO 600 - 3M
TEMPERO,ESPINAFRE UNIDADE
SIMILAR,EUTHYROX 88MCG 50 COMP 104 CX
PRODUTO DE LIMPEZA,AMAC YPE ACONCHEGO 2L CX 6
PRODUTO DESCARTAVEL,COPO 250ML. MARATA P/CERVEJA PC
MATERIAL PARA CONSTRUCAO,LUVA SOLD 25MM KRONA
REFRIGERANTE,SODA LIMON ANTARCTICA CACUC 237ML CX12
PRODUTO DE LIMPEZA,DET LIQU YPE LIMAO 24X500ML
PRODUTO DE LIMPEZA,CX. SABAO N. AURORA AZUL 10X1000 G PERF CX
PRODUTO DE HIGIENE,APAR.BIC COMFORT TW.P.SEN.12X2 PT
UTENSILIO PARA O LAR,VARAL DE ACO 10 MTS
REFRIGERANTE,REFRIGERANTE FANTA 2L UVA
SIMILAR,CARB DE CALCIO+ VIT D 500 (OSTEOFIX) C/60 (NATUL)
PARTE E PECA PARA VEICULO,CARBURADOR COMPLETO TITAN 150
MATERIAL PARA CONSTRUCAO,CURVA ELET PVC 11/2 180G ROSC TIGRE PC
SIMILAR,MELHORAL INF 25 X 8 COMP - O 101 CX
MATERIAL PARA CONSTRUCAO,BISNAGA CORANTE AMARELO HIDRACOR
ISOTONICO,ISOTONICO GATORADE LIMAO PET 500ML CX 6
ESPECIARIA,AMENDOIM CART DORI 5X30G CHOCOLATE CAR CA
REFRIGERANTE,REFRI SPRITE LT 350ML ZERO
MEDICAMENTO NAO CLASSIFICADO,CALCIUM 600MG VIT D CPD/90 FDC
ESPUMANTE,ESPUMANTE AURORA BRUT 750ML
PAO,PAO FORMA PANE VITA 500G
SIMILAR,NOTUSS TSS 3MG XPE 120ML-OUTROS FRC
TIPO DE FERRAMENTA,PRUMO ACO 700G N2 MOMFORT PC
PRODUTO DE HIGIENE,ESC.DENT.COLGATE EXTRA CLEAN L3P2
UTENSILIO DE LIMPEZA,PA PARA LIXO CABO LONGO
SIMILAR,OLEO MINERAL 100ML 102 FR
PRODUTO DE LIMPEZA,AGUA SANITARIA 5L GL
ALIMENTO CONDIMENTADO,AZEITE 500ML FAISAO REAL E. VIRGEM
PRODUTO DE LIMPEZA,ALVEJANTE ECON MULTI 2L CX
CABELO,MURIEL REP PONTAS ABACATE 30 ML
MATERIAL PARA CONSTRUCAO,GESSO 1KG KG
MEDICAMENTO NAO CLASSIFICADO,NUTRINFAN 120ML 103 FR
CABELO,MASCARA NOZ PECA 250GR HASKELL
SIMILAR,TONICO VITAL SOL 500ML
CERVEJA,CERVEJA LATA 350ML SKOL
PRODUTO DE HIGIENE,CREME D.EVEN BRANQ.C/FL.72X90G CX
MISTURA PRONTA,GELATINA LIMAO ZERO (2100312) 12 GRS UND.C/1X12 GRS 7898409952302
UTENSILIO DE LIMPEZA,ESPONJA DE ACO ASSOLAN 60G C/8
PRODUTO DE LIMPEZA,LUSTRA MOVEIS BRIO 200ML ALFAZEMA CX24
PRODUTO DE LIMPEZA,FOFO AMAC CONC TRADICIONAL 12X500ML CX
MATERIAL ELETRICO,TOMADA SIMPLES BR. 10A SX 63140
SUCATA,SUCATA MET�LICA KG
CORPO,#DES.NIVEA R-ON FEM.DOUB.EFF.5 CD
MATERIAL PARA CONSTRUCAO,PISO 46X46 A 65240 M2
LACTICINIO,IOG NESTLE POLPA 540G MOR
REFERENCIA,DIGEDRAT 200MG CAPS/20 GELAT
AGUA,AGUA COCO SOCOCO 330ML
PRODUTO DE LIMPEZA,DESCARBONIZANTE 300ML
REFERENCIA,BUDECORT AQUA 32MCG 120 DS 101 CX
LACTICINIO,ACHOC ITALAC 200ML
CAMA MESA E BANHO,LENCOL ENCANTO CASAL
LACTICINIO,PICOLE FROSTY BOMBOM 70G
GENERICO,HIDROCLOROTIAZIDA 50MG 20CPR - GEN (LEGRA) CX
FEIJAO,FEIJAO PRETO KICALDO 10X1 TP1 FD
ALIMENTO EM CONSERVA,ERVILHA FUGINI SCH 200G
SIMILAR,KOMBIGLYZE XR 2 5+1000MG 60 101 CX
ELETROPORTATEIS,BATEDEIRA PRATICA B-05 220V MONDIAL
CABELO,6.7 CHOCOLATE AMEND MAGNIFIC C
PARTE E PECA PARA VEICULO,COLETOR DE ADMISSAO C/PARAFUSO CGTITAN
PRODUTO DE LIMPEZA,DETERGENTE NEUTRO TALIMPO 5L
CORPO,DES ROL REXONA MASC SPORTFAN 50ML UN/0001
VODKA,VODKA SMIRNOFF ICE LN 275ML CX24
TEMPERO,COLORAU KIMIMO 10X100G PCT
VERDURA E LEGUME,MANDIOQUINHA CX10 KG
CORPO,DES ROL NIVEA MASC DRY IMPACT 50ML UN/0001
VESTUARIO MASCULINO,CAL�A SOCIAL MASCULINA
TIPO DE TECIDO,OE-M 30/1 FIO 100% ALGODAO QUANTUM OPEN END MALHARIA KG
PRODUTO PARA ANIMAL,ADVOCATE GATOS 0,4ML ATE 4KG
UTENSILIO PARA O LAR,FORMA PARA BOLO
REFRIGERANTE,REFRIG DELRIO 2L GUARANA
PRODUTO DE LIMPEZA,LAVA AUTO GRAND PRIX EXPRESS 500ML
ELETROPORTATEIS,SANDUICHEIRA INOX MALLORY 220V
SIMILAR,PANTOPRAZOL 40MG 28CP (SANDOZ)
SIMILAR,PLURAIR 50MCG SPR 120 DS 105 CX
ESPECIARIA,AMENDOIM AGTAL JAPONES 30G
GENERICO,CEFACLOR 250MG/5ML SUSP 80ML G-EMS+
CORPO,ASEPTOL 90 ML CX/24
MACARRAO,MAC NISSIN LAMEN 85G HOT CALABRESA CX50
PRODUTO DE CONFEITARIA,PASTA AMERICANA ARCOLOR AMARELA
PRODUTO HOSPITALAR,FIO NYLON 4-0 CX C/24
AGUA,AGUA NATURAGUA 315ML S/GAS
LACTICINIO,CREME DE LEITE ITALAC 24X200 CX
SIMILAR,PERMETRINA (KELTRINA) LOCAO PLUS 5% 60ML (MULTI) CX
PRODUTO DESCARTAVEL,PRATO PLAST DESC FUNDO 150MM 1,0 MIL BR
PRODUTO DE HIGIENE,PAPEL HIG.ALPINO C/4 NEUTRO
SAPATILHA,SAPATILHA-00202-17 PAR
MATERIAL PARA CONSTRUCAO,BACIA CX ACOP FIT PT CELITE
VESTUARIO MASCULINO,CAMISA ADIDAS ENTRADA 14 PC
OVO DE AVE,OVO GRANDE BRANCO C/30 (BGB) BAND
REFERENCIA,LASIX CPD C20 CX
PRODUTO FARMACEUTICO,MASSAGEOL AEROSOL 120ML (NEOQU)
MEDICAMENTO NAO CLASSIFICADO,PAZINE 315MG CPD30
REFRIGERANTE,COCA-COLA 12X350ML LATA PC
CABELO,FIN NONI PLUS 200GR
CORPO,DES REXONA AEROSOL FEM 105GR COTTON
ROSTO,NORMADERM VICHY NOITE DETOX 40ML
BISCOITO,RICHESTER ESCURETO RECH 30X140 CX
REFERENCIA,ADVIL 400MG CAPS3
BOMBONIERE,SALG.LIPY MT S/MANTEIGA 30G C/10 PCT
CORPO,SAB GRANADO BEBE GLIC DOCE LIQ250ML
UTENSILIO PARA O LAR,FACA G BCA CX C/20 PCT C/ 50 STRAWPLAST FSB-702
REFERENCIA,MOTILIUM 10MG CPD60
MATERIAL PARA ESCRITORIO E ESCOLAR,NOTE FIX 76X102 AMARELO C/100FL
FRUTA,TOMATE CEREJA KG KG1
LEITE,LEITE PO NINHO INTEG.24X400G EE
SIMILAR,DERMODEX PREVENT POMADA 30G
REFERENCIA,DIOVAN 80MG CPD28 NOVO CX
GENERICO,ATENOLOL 25MG 30 CPS (PRATI)
CABELO,COND DOVE RECONST COMPLETA 200ML
PRODUTO FARMACEUTICO,ABS ALWAYS U.FIN0 FLEX ABA 8UND
MISTURA PRONTA,MAIZ CREMOGEMA 200G SAB BANANA
CORPO,ON DUTY FRESH DESOD AEROSOL FEM 48H 150ML
CABELO,TIN BIGEN KIT 6G 1.01P/N
CORPO,DA BOZZANO SPORT 90G
UNHAS,ESM RISQUE BASE FORTALECEDOR
SIMILAR,ANGIOPRIL 10MG CPD30
REFRIGERANTE,C.COLA ZERO LATA C12 CX
LIVRO,LIVRO EF 7O ANO - PRATICA PRODUCAO TEXTUAL
BISCOITO,RICHESTER AMORI RECH CHOCOLATE 30X140 CX
CABELO,CT SKALA.M KARITE 1000G
SIMILAR,LEVERCTIN 6MG CPD2
REFERENCIA,DIPROGENTA CREME 30G + BG
CORPO,DES AMORAVEL BEAUTY VITALY AER 90G
REFERENCIA,PREDSIM 40MG CPD7
ARROZ,ARROZ PARB PANELACO 1KG LF TP1 PC
FARINHA E AMIDO,FLOCAO VITAMILHO FDO 1 X 30 500G
MEDICAMENTO NAO CLASSIFICADO,PREBICTAL 50MG CAP28 PC1 CX
MATERIAL PARA ESCRITORIO E ESCOLAR,LAPIS DE COR FABER GDE. 14CORES 12X12
PRODUTO DE HIGIENE,ENX BUCAL CEPACOL MENTA L500P350ML
SIMILAR,NEBIDO AMP4ML PC5
PRODUTO FARMACEUTICO,GEL ICE AMORAVEL MASSAGEM 250G PT
GENERICO,ATENOLOL 25MG CPD30 GNEMS
ALIMENTO CONDIMENTADO,CATCHUP ARISCO 390G PET TRADICIONA
SIMILAR,TREZOR 10MG CPD/30
PERFUMARIA,REFRESCANTES CHYPRE 300ML
SIMILAR,LEVOXIN 500MG CPD10 +
CABELO,FRUCTIS SH 200ML POS QUIMI
VERDURA E LEGUME,COUVE FLOR KG KG1
PRODUTO DE HIGIENE,AP BARB PRESTOBARBA 3 MASC C2
PRODUTO FARMACEUTICO,FD HUGGIES SUPRECARE MEGA F XXG26
DOCE E SOBREMESA,NESTLE FLAN CARAMELO 20X220G BR CX
ALIMENTO PARA ANIMAL,WHISKAS 290G LT ADULTO CARNE AO MOLHO 10121874
CABELO,ADVANCE TECHNIQUES HIDRABALANCE SHAMPOO 200ML
BISCOITO,ESTRELA DISNEY BISC RECHEADO MORANGO 30X120 CX
TIPO DE PLANTA,CAPIM SANTO
REFRIGERANTE,SUKITA LATA 350ML SH C/12 NPAL CX12
PRODUTO DE HIGIENE,CR DTL BITUFO T FRUTTI GEL INF 100G
REFERENCIA,BUTAZONA CALC ENV DRG10
AGUA,AGUA MIN INDAIA S/GAS 12X500ML PCT
CABELO,SH DIMENSION 3EM1 SECO 200ML
SIMILAR,ANCORON 100MG CPD30
SIMILAR,NEOVLAR 21DRG BAYE CX
UTENSILIO PARA O LAR,FACA CHURRASCO NEW KOLOR 23160/404 TRAMONTINA
GENERICO,GEN RIFAMICINA SPR 20ML-AT 103 FR
PRODUTO DE HIGIENE,CR DTL MALVATRIKIDS BABY 70G
ACUCAR,ACUCAR REF AMORFO ESPECIAL 10X1 UNIAO FD
PRODUTO FARMACEUTICO,LUBRIF INT AMORAVEL MENTA GEL 90G FR
CEREAL,B-GRAIN FLAKES MALTADO S/ACUCAR PC.C/300G PC
REFRIGERANTE,0000000576 - C.COLA LATA SINGLE C12
SIMILAR,NARIDRIN 12H ADULTO 30ML FR
BOMBONIERE,SALGADINHO TROFEU 50G CALABRESA PCT
MAQUIAGEM,MASC CILIO MAYBELLINE VE COL LAV NU
PRODUTO FARMACEUTICO,ABS ATIVA CLASSIC S/AB C/8 SV DZ
MAQUIAGEM,CT BATOM POP LOVE MORANGO
PRODUTO DE LIMPEZA,GLADE AUTOMATIC*C.LINEN 3EM1 AP 269ML
DOCE E SOBREMESA,B-GOIABADA ZERO FLORMEL CX.C/3X25G CX
SUCO,SUCO JANDAIA GOIABA 200ML CX 24
CABELO,SHP TIO NACHO QUEDA ANTIDADE 415ML
FRUTA,MELAO JAPONES KG KG1
PERFUMARIA,PLAYBOY VIP BLACK MASC EDC 100ML
PAPEL,PAPEL CHAMEX MULTI A-4 500FL
ESPECIARIA,AMENDOIM CART DORI 5X30G SALGADO CAR CA
UTENSILIO PARA O LAR,P PRESSAO 10L LUZIE CRAQUEADA CX. COMUM
TEMPERO,TEMPERO ALHO E SAL 250G CX 12UND
MATERIAL PARA ESCRITORIO E ESCOLAR,CADERNETA S.DOMING.MEDIA FRIEND 10X80FL
GENERICO,ANADOR 500MG 120 CP
SAPATO,SAPATO MELISSA PR
MISTURA PRONTA,MISTURA PARA BOLO FINNA 12 X 450G LARANJA CX
CABELO,COND MASC REV QUIMICOS 350G FATTORE
CABELO,SHAMPOO ALYNE NEUTRO 350ML
REFERENCIA,RITMONORM 300MG CPD60
MAQUIAGEM,AC EXTRALASTING LONGA DUR BATOM UVA
MATERIAL PARA ESCRITORIO E ESCOLAR,BORRACHA MERCUR TR DECORADA BR/PT C/18UN PT
ALIMENTO CONDIMENTADO,FEIJOADA BORDON PEQUENA 1X430G LTA
FRUTA,HF.BANANA NANICA GR 1 X 1 1G KG
SIMILAR,GELOL AEROSOL 44G FR
BOMBONIERE,CHOC NESTLE PRESTIGIO C3
REFERENCIA,SARIDON CPD20 CX
ACESSORIO DE INFORMATICA,***CXS IBYTE C03B 5W#
LIVRO,ESTUDOS D/GEOGRAFIA-COMO FUNCIONA O MUNDO 6O-ED.RE
REFERENCIA,RIVOTRIL 2MG 30CPR B1 ROCH CX
ACESSORIO DE INFORMATICA,PEN DRIVE SONY 4GB
TIPO DE PRODUTO,SOLVENTE 101 1L
REFERENCIA,RINO LASTIN SPRAY NASAL 10ML FR
MATERIAL PARA CONSTRUCAO,FITA EMP.TRANSP. 3M - 45 X 50 SCOTCH RL
REFRIGERANTE,REF.COCA-COLA LATA LTA 1 X 1 350ML
ALIMENTO PRONTO,LASANHA BOLONHESA SEA CX
CORPO,GALBE DESODORANTE BODY SPRAY 100ML PK V4
ISOTONICO,ISOT GATORADE MOR/MARAC PET 500ML 1
SIMILAR,OFTPRED COL 5ML
TIPO DE PRODUTO,OLEO 5W30 LT
SIMILAR,PENTALAC XPE 120ML
PECA INTIMA,CUECA INF
MATERIAL PARA ESCRITORIO E ESCOLAR,CLIPS ACC 2/0 CX C/ 100 UN GALV.
CORPO,GRANADO REFIL SAB BEBE LIQ LAVANDA 250 ML CX/12 2479
ACESSORIO PARA BELEZA,S.CLARA LIXA PE ANATOM R.116A
PRODUTO FARMACEUTICO,FITA MICROP CREMER 1 2CMX4 5 101
PRODUTO DE LIMPEZA,SABAO BARRA YPE ALOE VERA 5X200G PC
PREPARACAO DE CARNE,LING CHURRASCO AURORA 1X5KG PC
PRODUTO DE LIMPEZA,DESINF ECONOMICO FC LAVANDA 1000ML
ALIMENTO CONDIMENTADO,MOLHO SALADA LIZA 234ML QUEIJOS PET FR
PRODUTO FARMACEUTICO,PROT DIARIO INT DAYS RESP S 102 PC
MATERIAL ELETRICO,PILHA ALCALINA PAL AAA MULTI BLISTER 2X2 CAR 16 UND CA
REFERENCIA,TRANSPULMIN XPE MEL PET 150ML
CARNE DE AVE ,BCX HOT WINGS RESF 10X700G CX
PRODUTO DE LIMPEZA,AM FOFO 500ML TRADICIONA
CORPO,MATER SKIN LOC CORP 200G 101 FR
CABELO,GOLD SH 300ML+CO 200ML ARGAN KI
PRODUTO DE HIGIENE,COLGATE CD PRO ALIVIO 110G R.
ARROZ,ARROZ PAI JOAO BRANCO 1KG
PRODUTO DE LIMPEZA,LIMP VEJA MULTI USO CAMPES 500ML
ACESSORIO DE VESTUARIO,MEIA SOQUETE-00002-G PAR
SIMILAR,CLOPAM 0 5MG 20 COMP-B1 101 CX
PREPARACAO DE CARNE,MORTADELA GOSTOSINHA BOVINA KG
ALIMENTO CONDIMENTADO,HELLMANNS 250G PET REGULAR
PRODUTO FARMACEUTICO,ALGODAO CREMER DISCO C30
PRODUTO DE HIGIENE,COLGATE CD TOTAL 90G CLEAN MIN DZ
PRODUTO DE CONFEITARIA,CHOCOLATE EM PO ZAELI 12X200 - CAIXA-CX CX
REFERENCIA,CIALIS 20MG CPD4
FARINHA E AMIDO,POLVILHO DOCE ZAELI 20X500-FD FD
GENERICO,GEN CLOXAZOLAM 1MG 30 COMP-B 101 CX
SIMILAR,ZETIA 10MG 30 COMP 101 CX
SIMILAR,RINOSORO GTS 30ML FR
ROSTO,EB NIVEA FOR MEN 193G SENSITIV
FARINHA E AMIDO,FARINHA TRIGO D BENTA 10X1KG ESPECIAL FD
CABELO,TIN NUTRISSE COR INT 2.0P
CORPO,SAB NIVEA LAVANDA OLEOS 90G
VERDURA E LEGUME,ALFACE CRESPA. PC1
PRODUTO FARMACEUTICO,REPEL EXPOSIS INFANTIL SPRAY 100ML
REFERENCIA,MACRODANTINA 100MG 28 CAPS - 103 CX
GENERICO,*HIDROXIDO DE ALUMINIO C/240ML CX
